id vezetekNev keresztNev kor email szulhely testverekSzama
39 Szabó Lívia 22 SzabóLívia22@gmail.com Pécs 7
40 Nagy László 19 NagyLászló19@freemail.com Nyíregyháza 2
41 Tóth Noémi 20 TóthNoémi20@freemail.com Kecskemét 0
42 Kovács Noémi 24 KovácsNoémi24@gmail.com Budapest 7
43 Kiss Bence 23 KissBence23@citromail.com Debrecen 10
44 Kovács Natália 25 KovácsNatália25@gmail.com Nyíregyháza 5
45 Farkas Lívia 29 FarkasLívia29@gmail.com Pécs 7
46 Varga Patrik 27 VargaPatrik27@gmail.com Pécs 10
47 Kovács Bence 19 KovácsBence19@business.com Győr 3
48 Kovács Noémi 11 KovácsNoémi11@freemail.com Eger 6
49 Molnár Péter 16 MolnárPéter16@citromail.com Budapest 1
50 Kiss Patrik 22 KissPatrik22@business.com Budapest 6
51 Kiss Dávid 20 KissDávid20@business.com Kecskemét 9
52 Nagy Péter 27 NagyPéter27@freemail.com Debrecen 1
53 Vass Dávid 14 VassDávid14@gmail.com Pécs 7
54 Balogh Attila 10 BaloghAttila10@gmail.com Budapest 8
55 Tóth Ákos 27 TóthÁkos27@gmail.com Pécs 10
56 Molnár Dávid 23 MolnárDávid23@citromail.com Eger 9
57 Balogh Dávid 14 BaloghDávid14@business.com Nyíregyháza 8
58 Balogh Martin 21 BaloghMartin21@citromail.com Eger 0
59 Kiss Noémi 12 KissNoémi12@citromail.com Budapest 3
60 Kiss Martin 24 KissMartin24@business.com Debrecen 1
61 Varga Ákos 15 VargaÁkos15@citromail.com Nagyvárad 5
62 Farkas Dávid 23 FarkasDávid23@citromail.com Pécs 2
63 Kovács Martin 30 KovácsMartin30@gmail.com Nyíregyháza 2
64 Balogh Natália 21 BaloghNatália21@citromail.com Eger 5
65 Kiss Martin 19 KissMartin19@freemail.com Győr 7
66 Szabó Natália 19 SzabóNatália19@gmail.com Budapest 10
67 Varga Natália 29 VargaNatália29@business.com Miskolc 5
68 Nagy Ákos 17 NagyÁkos17@citromail.com Kecskemét 3
69 Farkas Attila 30 FarkasAttila30@freemail.com Győr 10
70 Molnár Lívia 21 MolnárLívia21@citromail.com Miskolc 0
71 Farkas Natália 16 FarkasNatália16@business.com Nagyvárad 4
72 Szabó Bence 25 SzabóBence25@citromail.com Kecskemét 0
73 Farkas Martin 16 FarkasMartin16@citromail.com Pécs 9
74 Horváth Attila 20 HorváthAttila20@freemail.com Győr 5
75 Farkas Natália 22 FarkasNatália22@freemail.com Debrecen 3
76 Tóth László 30 TóthLászló30@freemail.com Győr 6
77 Nagy Noémi 16 NagyNoémi16@citromail.com Nagyvárad 8
78 Balogh Attila 16 BaloghAttila16@freemail.com Eger 10
79 Balogh Martin 24 BaloghMartin24@freemail.com Debrecen 1
80 Molnár László 30 MolnárLászló30@gmail.com Eger 0
81 Nagy Attila 10 NagyAttila10@business.com Kecskemét 4
82 Horváth Attila 29 HorváthAttila29@citromail.com Nyíregyháza 3
83 Vass Attila 30 VassAttila30@citromail.com Nyíregyháza 2
84 Varga Péter 29 VargaPéter29@citromail.com Győr 7
85 Kiss Natália 18 KissNatália18@citromail.com Budapest 10
86 Horváth László 27 HorváthLászló27@citromail.com Eger 6
87 Kovács Attila 14 KovácsAttila14@citromail.com Nagyvárad 9
88 Varga Natália 27 VargaNatália27@business.com Kecskemét 2
89 Nagy Bence 23 NagyBence23@business.com Eger 5
90 Farkas Péter 19 FarkasPéter19@gmail.com Nyíregyháza 9
91 Balogh Dávid 22 BaloghDávid22@business.com Nagyvárad 2
92 Nagy Bence 18 NagyBence18@business.com Pécs 5
93 Nagy Péter 30 NagyPéter30@freemail.com Budapest 5
94 Balogh Martin 30 BaloghMartin30@freemail.com Nyíregyháza 5
95 Vass Lívia 29 VassLívia29@business.com Kecskemét 8
96 Tóth Attila 15 TóthAttila15@citromail.com Kecskemét 10
97 Balogh Natália 27 BaloghNatália27@citromail.com Budapest 8
98 Horváth Patrik 16 HorváthPatrik16@gmail.com Miskolc 0
